scen_number;sensitivity;n_iter;walltime;PrimalResidual_ETS;PrimalResidual_MSR;PrimalResidual_EOM;PrimalResidual_REC;PrimalResidual_H2;PrimalResidual_H2CN_prod;PrimalResidual_H2CN_cap;DualResidual_ETS;DualResidual_EOM;DualResidual_REC;DualResidual_H2;DualResidual_H2CN_prod;DualResidual_H2CN_cap;Beta;EUA_2022;CumulativeEmissions;TotalCost
27;cheap electrolysis;2592;423.7368547;0.374562213;0.027873046;0.206285016;2.050174515;4.497240819;0.002329755;0.010511006;0.680702157;0.180703738;1.44735123;6.863886583;0.002466853;0.005336123;0.000741399;80.16999237;11931.23044;2.18E+06
27;double CNHydrogen target 2030;2628;427.6588367;0.546624914;0.061061409;0.206488317;1.711844305;4.957952287;0.002263356;0.155089024;0.879493951;0.184347191;1.465933368;8.822511824;0.002396943;0.037298768;0.000741399;80.35351308;11892.0783;2.20E+06
27;Low discount rate;1893;296.6782547;4.227159545;0.091153086;0.205562338;1.839294484;4.345321151;0.002152259;0.020465365;2.641847935;0.20475276;1.758426186;4.40251344;0.000482493;0.010274523;0.000741399;103.2101712;11527.17625;2.58E+06
27;High discount rate;1952;311.3087298;3.720962099;0.035364824;0.206548435;1.165249358;6.995477179;0.004597586;0.095253244;3.452895024;0.188907075;1.864175072;13.26454569;0.011104325;0.231084409;0.000741399;68.83588255;12575.04765;1.79E+06
27;No new nuclear-biomass;2397;329.818117;0.855456829;0.024619851;0.199571775;1.373806834;5.321421121;0.002863071;0.014321419;1.375947873;0.205609953;1.326912162;9.408063476;0.006304745;0.015193812;0.000741399;80.97733887;11865.50154;2.20E+06
28;ref;5360;854.9686669;0.213551098;0.002002668;0.041346532;0.615140596;0.327731384;0.005252852;0.00268867;0.169289946;0.041155098;0.312862657;0.310092048;0.006295875;0.002884756;0.000741399;80.87739924;11882.58988;2.20E+06
28;ref;5360;926.1549636;0.213551098;0.002002668;0.041346532;0.615140596;0.327731384;0.005252852;0.00268867;0.169289946;0.041155098;0.312862657;0.310092048;0.006295875;0.002884756;0.000741399;80.87739924;11882.58988;2.20E+06
28;low natural gas price;6231;1121.280969;1.138210026;0.004726395;0.041025997;0.439375009;0.318370724;0.004604608;0.008916405;0.998848381;0.040390534;0.264433521;0.197595954;0.002795927;0.018875877;0.000741399;91.0411232;12025.3129;1.91E+06
28;high natural gas price;5360;800.6351153;0.213551098;0.002002668;0.041346532;0.615140596;0.327731384;0.005252852;0.00268867;0.169289946;0.041155098;0.312862657;0.310092048;0.006295875;0.002884756;0.000741399;80.87739924;11882.58988;2.20E+06
28;Low RES buildout;5205;844.941225;0.572799336;0.018520406;0.040589726;0.165560666;0.442610249;0.007249786;0.039494287;0.845717869;0.041242208;0.310468702;0.377794899;0.016129929;0.106141555;0.000741399;84.58786895;13050.3667;2.02E+06
28;High RES buildout;5360;779.608123;0.213551098;0.002002668;0.041346532;0.615140596;0.327731384;0.005252852;0.00268867;0.169289946;0.041155098;0.312862657;0.310092048;0.006295875;0.002884756;0.000741399;80.87739924;11882.58988;2.20E+06
28;low industry emission reduction rate;5399;779.635806;0.855557391;0.002266704;0.040639353;0.245909342;0.368267917;0.005489313;0.002665159;0.589540315;0.041136504;0.305697955;0.511270117;0.013169457;0.001385012;0.000741399;86.92324313;11729.20258;2.21E+06
28;low industry emission reduction rate;5399;1086.863405;0.855557391;0.002266704;0.040639353;0.245909342;0.368267917;0.005489313;0.002665159;0.589540315;0.041136504;0.305697955;0.511270117;0.013169457;0.001385012;0.000741399;86.92324313;11729.20258;2.21E+06
28;cheap SMR+CCS;5399;1007.47252;0.855557391;0.002266704;0.040639353;0.245909342;0.368267917;0.005489313;0.002665159;0.589540315;0.041136504;0.305697955;0.511270117;0.013169457;0.001385012;0.000741399;86.92324313;11729.20258;2.21E+06
28;expensive SMR+CCS;5399;901.4084902;0.855557391;0.002266704;0.040639353;0.245909342;0.368267917;0.005489313;0.002665159;0.589540315;0.041136504;0.305697955;0.511270117;0.013169457;0.001385012;0.000741399;86.92324313;11729.20258;2.21E+06
28;High electrolysis buildout;5448;869.6596481;0.794037626;0.013480437;0.040810141;0.189193118;0.097127971;0.0054521;0.002602237;0.499326489;0.039861464;0.308546011;0.084381037;0.003080025;0.001353006;0.000741399;86.99454325;11776.45198;2.20E+06
28;Extreme electrolysis buildout;5474;966.0085229;0.774296728;0.005282544;0.037318195;0.22231211;0.402923502;0.005258841;0.002474125;0.709434657;0.041068366;0.305672222;0.338184313;0.012674173;0.005408041;0.000741399;86.91520804;11734.43073;2.21E+06
28;2030 res target 60;5377;875.7012573;0.83290743;0.002619154;0.033762545;0.253764641;0.515624258;0.005459202;0.002669686;0.557923353;0.040868572;0.502735916;0.336869095;0.006288436;0.002867557;0.000741399;86.73652842;11739.50266;2.21E+06
28;2030 res target 80;6395;1058.886403;2.0496355;0.023938135;0.041334778;0.323811439;0.339580641;0.030786942;0.113065628;1.433341117;0.032415692;0.372255262;0.239463322;0.013037737;0.060717604;0.000741399;101.8982927;11504.11086;2.15E+06
